,0
Cement-to-cm³,0
Cement type (MPa),0
Fly ash-to-cm,0
Slag-to-cm,0
Silica fume-to-cm,0
Metakaolin-to-cm ,0
Nano silica-to-cm,0
Limestone-to-cm,0
Quartz powder-to-cm,0
Sand-to-cm,0
Maximum aggregate size (mm),0
Water-to-cm,0
Superplasticizer-to-cm,0
Steel fiber volume (%),0
Aspect ratio of fibers,0
Size of specimen (mm),0
28-day compressive strength (MPa),0
