Feature,Importance
Maximum aggregate size (mm),0.24186617
Size of specimen (mm),0.17852905
Cement type (MPa),0.15927593
Sand-to-cm,0.08966005
Silica fume-to-cm,0.084673576
Steel fiber volume (%),0.051696587
Superplasticizer-to-cm,0.037605867
Quartz powder-to-cm,0.034426782
Water-to-cm,0.03174234
Fly ash-to-cm,0.028703269
Aspect ratio of fibers,0.027568284
Cement-to-cm³,0.011598399
Slag-to-cm,0.01011459
Metakaolin-to-cm ,0.0073292595
Nano silica-to-cm,0.0029697206
Limestone-to-cm,0.002240092
