Feature,Importance
cement,0.21173842
age,0.21069372
superplasticizer,0.1573767
water,0.13561913
blast_furnace_slag,0.12826382
fly_ash,0.072781496
fine_aggregate ,0.055650294
coarse_aggregate,0.027876452
