Feature,Importance
Silica Fume (kg/m³),0.6641204
concrete(kg/m³),0.10547241
Coarse Aggregate (kg/m³),0.049280405
Fiber Diameter (mm),0.04927531
Fiber Length (mm),0.035588104
Water (kg/m³),0.03355597
Fly Ash (kg/m³),0.028223014
Fine Aggregate (kg/m³),0.017248817
Water Reducer (kg/m³),0.012914296
Fiber Content (%),0.0043213456
