,0
Type_of_fiber,0
Fiber_diameter,0
Embedded_length,0
Youngs_modulus_of_fiber,0
Poisson_ratio_of_fiber,0
Type_of_matrix,0
Youngs_modulus_of_matrix,0
Poissons_ratio_of_matrix,0
Loading_rate,0
Prepare_temperature,0
Test_temperature,0
Fmax,0
