Feature,Importance
Silica Fume (kg/m³),0.366683
Water (kg/m³),0.21871166
Fine Aggregate (kg/m³),0.15043195
concrete(kg/m³),0.08068073
Fly Ash (kg/m³),0.071063794
Water Reducer (kg/m³),0.041219648
Fiber Length (mm),0.031039566
Coarse Aggregate (kg/m³),0.027220158
Fiber Diameter (mm),0.008629282
Fiber Content (%),0.004320222
