Feature,Importance
Fly ash,0.6238998
Cement,0.18998022
Water,0.072195075
SP,0.0334614
Coarse Aggr.,0.021819744
Slag,0.01944808
SLUMP(cm),0.01807964
FLOW(cm),0.010652109
Fine Aggr.,0.010463942
