Idx_Sample;Ref.;Mixture Code in Ref;SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;TiO2;P2O5;SrO;Mn2O3;MnO;LOI;FA_SiO2;FA_Al2O3;FA_Fe2O3;FA_CaO;FA_MgO;FA_Na2O;FA_K2O;FA_SO3;FA_TiO2;FA_P2O5;FA_SrO;FA_Mn2O3;FA_MnO;FA_LOI;GGBFS_SiO2;GGBFS_Al2O3;GGBFS_Fe2O3;GGBFS_CaO;GGBFS_MgO;GGBFS_Na2O;GGBFS_K2O;GGBFS_SO3;GGBFS_TiO2;GGBFS_P2O5;GGBFS_SrO;GGBFS_Mn2O3;GGBFS_MnO;GGBFS_LOI;OtherSCM_SiO2;OtherSCM_Al2O3;OtherSCM_Fe2O3;OtherSCM_CaO;OtherSCM_MgO;OtherSCM_Na2O;OtherSCM_K2O;OtherSCM_SO3;OtherSCM_TiO2;OtherSCM_P2O5;OtherSCM_SrO;OtherSCM_Mn2O3;OtherSCM_MnO;OtherSCM_LOI;SF_SiO2;SF_Al2O3;SF_Fe2O3;SF_CaO;SF_MgO;SF_Na2O;SF_K2O;SF_SO3;SF_TiO2;SF_P2O5;SF_SrO;SF_Mn2O3;SF_MnO;SF_LOI;Kaolin_SiO2;Kaoliin_Al2O3;Kaolin_Fe2O3;Kaolin_CaO;Kaolin_MgO;Kaolin_Na2O;Kaolin_K2O;Kaolin_SO3;Kaolin_TiO2;Kaolin_P2O5;Kaolin_SrO;Kaolin_Mn2O3;Kaolin_MnO;Kaolin_LOI;OPC_SiO2;OPC_Al2O3;OPC_Fe2O3;OPC_CaO;OPC_MgO;OPC_Na2O;OPC_K2O;OPC_SO3;OPC_TiO2;OPC_P2O5;OPC_SrO;OPC_Mn2O3;OPC_MnO;OPC_LOI;Fine modulus (m2/kg);Specific gravity;OPC (kg/m3);FA (kg/m3);GGBFS (kg/m3);SF (kg/m3);MK (kg/m3);Other SCM (kg/m3);OPC density (kg/m3);FA density (kg/m3);GGBFS density (kg/m3);SF density (kg/m3);MK density (kg/m3);Other SCM density (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg in 1m3 mix);Total aggregates (kg in 1m3 mix);Coarse Agg density (kg/m3);Fine Agg density (kg/m3);NaOH specific gravity;Na2SiO3 specific gravity;Total Na2SiO3 (kg in 1m3 of mix);Na2O (l);SiO2 (l);H2O;Na2O (Dry);SiO2 (Dry);Water;Total NaOH (kg in 1m3 mix);Concentration (M) NaOH;Water;NaOH (Dry);Additional water (kg in 1m3 mix);Superplasticizer (kg in 1m3 mix);Total water (in solutions + additional) (kg in 1m3 mix);Initial curing time (day) ;Initial curing temp (C);Initial curing rest time (day);Final curing temp (C);Cube D (mm);Cylinder D (mm);Cylinder H (mm);1-d Cubic compressive strength (MPa);3-d Cubic compressive strength (MPa);7-d Cubic compressive strength (MPa);14-d Cubic compressive strength (MPa) ;21-d Cubic compressive strength (MPa);28-d Cubic compressive strength (MPa);56-d Cubic compressive strength (MPa);90-d Cubic compressive strength (MPa) ;180-d Cubic compressive strength (MPa);365-d Cubic compressive strength (MPa) ;4 HOURS Cylindrical compressive strength (MPa);1-d Cylindrical compressive strength (MPa);2-d Cylindrical compressive strength (MPa);3-d Cylindrical compressive strength (MPa);4-d Cylindrical compressive strength (MPa);5-d Cylindrical compressive strength (MPa);7-d Cylindrical compressive strength (MPa);12-d Cylindrical compressive strength (MPa);14-d Cylindrical compressive strength (MPa);21-d Cylindrical compressive strength (MPa);28-d Cylindrical compressive strength (MPa);56-d Cylindrical compressive strength (MPa) ;90-d Cylindrical compressive strength (MPa);180-d Cylindrical compressive strength (MPa) ;365-d Cylindrical compressive strength (MPa);3-d fst-cube (MPa);7-d fst-cube (MPa);14-d fst-cube (MPa);21-d fst-cube (MPa);28-d fst-cube (MPa);56-d fst-cube (MPa);180-d fst-cube (MPa);3-d fst-cylinder (MPa);7-d fst-cylinder (MPa);14-d fst-cylinder (MPa);21-d fst-cylinder (MPa);28-dfst-cylinder (MPa);56-d fst-cylinder (MPa);90-d fst-cylinder (MPa);180-d fst-cylinder (MPa);365-d fst-cylinder (MPa);3-d Ec (MPa);7-d Ec (MPa);14-d Ec (MPa);21-d Ec (MPa);28-d Ec (MPa);56-d Ec (MPa);90-d Ec (MPa);180-d Ec (MPa) ;365-d Ec (MPa);3-d WA (%);7-d WA (%);14-d WA (%);21-d WA (%);28-d WA (%);56-d WA (%);90-d WA (%);180-d WA (%);365-d WA (%);3-d Porosity/AVPV (%);7-d Porosity/AVPV (%);14-d Porosity/AVPV (%);21-d Porosity/AVPV (%);28-d Porosity/AVPV (%);56-d Porosity/AVPV (%);90-d Porosity/AVPV (%);180-d Porosity/AVPV (%);365-d Porosity/AVPV (%);3-d Water permeability (mm);7-d Water permeability (mm);14-d Water permeability (mm);21-d Water permeability (mm);28-d Water permeability (mm);56-d Water permeability (mm);90-d Water permeability (mm);180-d Water permeability (mm);365-d Water permeability (mm);3-d Abrasion resistance (mm);7-d Abrasion resistance (mm);14-d Abrasion resistance (mm);21-d Abrasion resistance (mm);28-d Abrasion resistance (mm);56-d Abrasion resistance (mm);90-d Abrasion resistance (mm);180-d Abrasion resistance (mm);365-d Abrasion resistance (mm);3-d UPV (m/s);7-d UPV (m/s);14-d UPV (m/s);21-d UPV (m/s);28-d UPV (m/s);56-d UPV (m/s);90-d UPV (m/s);180-d UPV (m/s);365-d UPV (m/s);3-d sorptivity(m/s^0.5);7-d sorptivity(m/s^0.5);14-d sorptivity(m/s^0.5);21-d sorptivity(m/s^0.5);28-d sorptivity(m/s^0.5);56-d sorptivity(m/s^0.5);90-d sorptivity(m/s^0.5);180-d sorptivity(m/s^0.5);365-d sorptivity(m/s^0.5);Slump (mm);flowtable;Seeting I;Setting F;"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
421;[27];w-0.25;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;;0;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334;;;;;;;;;;;1298,18;613,42;1911,6;;;0;0;58,45;0,1637;0,3435;0,49;9,57;20,08;28,80416;58,45;13;28,056;30,394;41,23;0;98,09016;0,333333333;90;2;;150;;;;;61,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175;;;;103,6609678
422;[27];w-0.30;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;;0;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334;;;;;;;;;;;1256,96;593,95;1850,91;;;0;0;58,45;0,1637;0,3435;0,49;9,57;20,08;28,80416;58,45;13;28,056;30,394;63,74;0;120,60016;0,333333333;90;2;;150;;;;;41,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;;;;103,3696558
423;[27];w-0.35;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;;0;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334;;;;;;;;;;;1215,47;574,34;1789,81;;;0;0;58,45;0,1637;0,3435;0,49;9,57;20,08;28,80416;58,45;13;28,056;30,394;86,24;0;143,10016;0,333333333;90;2;;150;;;;;35,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;;;;103,0763758
424;[27];w-0.40;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;;0;77,1;17,71;1,21;0,62;0,9;0,8;0;2,2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334;;;;;;;;;;;1174,98;555,21;1730,19;;;0;0;58,45;0,1637;0,3435;0,49;9,57;20,08;28,80416;58,45;13;28,056;30,394;108,84;0;65,70016;0,333333333;90;2;;150;;;;;17,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235;;;;102,7901998
425;[28];M1;60;22,7;4,6;4,5;1;0,7;2;0,5;0;0;0;0;;4;60;22,7;4,6;4,5;1;0,7;2;0,5;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480;;;;;;2,4;;;;;960;720;1680;;;0;0;36;0,082;0,27;0,65;2,95;9,72;23,328;204;12,2;104,448;99,552;0;0;127,776;2;90;;24;150;;;;26,9411;43,3364;;;50,5723;58,4406;;;;;;;;;;;;;;;;;;;;;;;;;;3,03402;3,08463;;;3,15985;;3,2599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188;;;;297,0027467
426;[28];M2;58,519;22,0175;4,561;6,569;1,2195;0,691;1,9155;0,564;0;0;0;0;;3,8705;57;21,565;4,37;4,275;0,95;0,665;1,9;0,475;0;0;0;0;0;3,8;1,519;0,4525;0,191;2,294;0,2695;0,026;0,0155;0,089;0;0;0;0;0;0,0705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;456;24;;;;;2,4;2,8;;;;960;720;1680;;;0;0;36;0,082;0,27;0,65;2,95;9,72;23,328;204;12,2;104,448;99,552;0;0;127,776;2;90;;24;150;;;;27,568;44,5939;;;52,4623;60,0157;;;;;;;;;;;;;;;;;;;;;;;;;;5,22084;5,2712;;;5,34652;;5,49633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;298,1547467
427;[28];M3;57,038;21,335;4,522;8,638;1,439;0,682;1,831;0,628;0;0;0;0;;3,741;54;20,43;4,14;4,05;0,9;0,63;1,8;0,45;0;0;0;0;0;3,6;3,038;0,905;0,382;4,588;0,539;0,052;0,031;0,178;0;0;0;0;0;0,141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;48;;;;;2,4;2,8;;;;960;720;1680;;;0;0;36;0,082;0,27;0,65;2,95;9,72;23,328;204;12,2;104,448;99,552;0;0;127,776;2;90;;24;150;;;;28,8261;46,1684;;;54,038;61,9063;;;;;;;;;;;;;;;;;;;;;;;;;;5,74632;5,92065;;;6,04552;;6,29441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;299,3067467
428;[28];M4;55,557;20,6525;4,483;10,707;1,6585;0,673;1,7465;0,692;0;0;0;0;;3,6115;51;19,295;3,91;3,825;0,85;0,595;1,7;0,425;0;0;0;0;0;3,4;4,557;1,3575;0,573;6,882;0,8085;0,078;0,0465;0,267;0;0;0;0;0;0,2115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;72;;;;;2,4;2,8;;;;960;720;1680;;;0;0;36;0,082;0,27;0,65;2,95;9,72;23,328;204;12,2;104,448;99,552;0;0;127,776;2;90;;24;150;;;;30,0848;49,9523;;;54,9791;65,0589;;;;;;;;;;;;;;;;;;;;;;;;;;5,62717;5,92537;;;6,12465;;6,54695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138;;;;300,4587467
429;[29];GPC1;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;;0,6;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;0;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1201;647;1848;;;0;0;93;0,091;0,289;0,62;8,46;26,88;57,66;62;14;27,28;34,72;4;0;88,94;1;60;;24;;100;200;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132,9295333
430;[29];GPC2;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;;0,6;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;0;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1201;647;1848;;;0;0;93;0,091;0,289;0,62;8,46;26,88;57,66;62;14;27,28;34,72;0;0;84,94;1;60;;24;;100;200;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132,9295333
431;[29];GPC3;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;;0,6;50,5;26,57;13,77;2,13;1,54;0,45;0,77;0,41;0;1;0;0;0;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1201;647;1848;;;0;0;103;0,091;0,289;0,62;9,37;29,77;63,86;68;14;29,92;38,08;0;0;93,78;1;60;;24;;100;200;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142,9639333
432;[30];A1;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1041,2025;800,925;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;46,11111111;0;24;;100;200;;;;;;;;;;;;23,3732364;;30,8885248;;;37,5074944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118,2150197
433;[30];A2;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1041,2025;800,925;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;55;0;24;;100;200;;;;;;;;;;;;25,85535;;29,9232584;;;32,6122148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,9187234
434;[30];A3;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1041,2025;800,925;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;70;0;24;;100;200;;;;;;;;;;;;12,4795156;;14,3411008;;;16,6853192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,5437234
435;[30];A4;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1281,48;560,6475;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;46,11111111;0;24;;100;200;;;;;;;;;;;;29,0958872;;29,7164156;;;30,8885248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118,2150197
436;[30];A5;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1281,48;560,6475;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;55;0;24;;100;200;;;;;;;;;;;;21,4427036;;23,3732364;;;27,9927256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,9187234
437;[30];A6;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;1281,48;560,6475;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;70;0;24;;100;200;;;;;;;;;;;;16,1337384;;19,0295376;;;19,650066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,5437234
438;[30];A7;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;961,11;881,0175;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;46,11111111;0;24;;100;200;;;;;;;;;;;;29,0269396;;29,1648348;;;29,2337824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118,2150197
439;[30];A8;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;408,47175;;;;;;2,46;;;;;961,11;881,0175;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;14;18,325164;23,322936;16,0185;6,4074;103,6797413;1;55;0;24;;100;200;;;;;;;;;;;;19,4432232;;24,6142932;;;26,6137736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,9187234
440;[30];A9;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;466,13835;;;;;;2,46;;;;;1478,988105;633,211305;2112,19941;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;47,254575;14;20,792013;26,462562;7,849065;7,04814;107,4296721;1;46,11111111;0;24;;100;200;;;;;;;;;;;;11,8589872;;23,097446;;;24,476398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132,1490003
441;[30];A10;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;466,13835;;;;;;2,46;;;;;1478,988105;633,211305;2112,19941;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;47,254575;14;20,792013;26,462562;7,849065;7,04814;107,4296721;1;55;0;24;;100;200;;;;;;;;;;;;12,5484632;;17,0990048;;;20,1326992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137,852704
442;[30];A11;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;;0;50,67;18,96;6,35;14,14;3,12;0,345;0,345;0,74;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;;466,13835;;;;;;2,46;;;;;1478,988105;633,211305;2112,19941;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;47,254575;14;20,792013;26,462562;7,849065;7,04814;107,4296721;1;70;0;24;;100;200;;;;;;;;;;;;10,6179304;;13,7205724;;;14,4100484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,477704
443;[30];B1;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;;0;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,29;;408,47175;;;;;;2,29;;;;;1281,48;560,6475;1842,1275;2,6;2,6;0;1,39;104,12025;0,106;0,265;0,629;11,04;27,59;65,49163725;41,6481;8;28,320708;13,327392;16,0185;6,4074;113,6752853;1;70;0;24;;100;200;;;;;;;;;;;;;;13,5826772;;;15,4442624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114,4022567
444;[30];B2;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;;0;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,29;;466,13835;;;;;;2,29;;;;;1479,308475;632,73075;2112,039225;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;46,45365;8;31,588482;14,865168;8,00925;6,4074;118,0018821;1;23,88888889;0;24;;100;200;;;;;;;;;;;;;;;;;7,8600264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,1883344
445;[30];B3;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;;0;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,29;;466,13835;;;;;;2,29;;;;;1479,308475;632,73075;2112,039225;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;46,45365;8;31,588482;14,865168;8,00925;6,4074;118,0018821;1;;0;24;;100;200;;;;;;;;;;;;;;;;;24,13166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,1883344
446;[30];B4;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;;0;56,59;23,89;4,82;9,42;1,83;0,24;1,03;0,39;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,29;;466,13835;;;;;;2,29;;;;;1479,308475;632,73075;2112,039225;2,6;2,6;0;1,39;118,5369;0,106;0,265;0,629;12,56;31,41;74,5597101;46,45365;8;31,588482;14,865168;8,00925;6,4074;118,0018821;1;32,22222222;0;24;;100;200;;;;;;;;;;;;10,6179304;;13,7205724;;;14,4100484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,82259366
