Feature,Importance
Silica fume-to-cm,0.32804376
Cement type (MPa),0.22455558
Water-to-cm,0.20231707
Sand-to-cm,0.08289405
Maximum aggregate size (mm),0.04096548
Slag-to-cm,0.028114667
Superplasticizer-to-cm,0.027042415
Limestone-to-cm,0.022658724
Quartz powder-to-cm,0.011258966
Aspect ratio of fibers,0.009914562
Cement-to-cm,0.009633664
Steel fiber volume (%),0.007968978
Fly ash-to-cm,0.004514402
Metakaolin-to-cm,7.835326e-05
Nano silica-to-cm,3.9255334e-05
