Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.216666667,0.02,2.461538462,72.22222222,40,141.7846799
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.238333333,0.02,2.461538462,72.22222222,40,137.8622438
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.13553719,0.023140496,2.461538462,72.22222222,40,121.4
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.143801653,0.023140496,2.461538462,72.22222222,40,118.25
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.151239669,0.023140496,2.461538462,72.22222222,40,113.72
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.159504132,0.023140496,2.461538462,72.22222222,40,119.79
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.166942149,0.023140496,2.461538462,72.22222222,40,116.2
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.175206612,0.023140496,2.461538462,72.22222222,40,114.89
0.79338843,52.5,0,0,0.20661157,0,0,0,0,0.79338843,1,0.175206612,0.023140496,2.461538462,72.22222222,40,123.39
0.550251256,52.5,0,0.350083752,0.099664992,0,0,0,0,0.84840871,1,0.154941374,0.033500838,2,65,50,135.209753
1,42.5,0,0,0,0,0,0,0,1,2.36,0.164040778,0.020018536,2,65,40,89.73154362
0.899907322,42.5,0,0,0.100092678,0,0,0,0,1,2.36,0.164040778,0.020018536,2,65,40,106.409396
0.849860982,42.5,0,0,0.150139018,0,0,0,0,1,2.36,0.164040778,0.020018536,2,65,40,104.295302
0.799814643,42.5,0,0,0.200185357,0,0,0,0,1,2.36,0.164040778,0.020018536,2,65,40,115.3355705
0.749768304,42.5,0,0,0.250231696,0,0,0,0,1,2.36,0.164040778,0.020018536,2,65,40,112.0469799
0.811150729,52.5,0,0,0.188849271,0,0,0,0,0.264376013,1,0.130567261,0.01828201,0,0,40,146.9158879
0.811118751,52.5,0,0,0.188881249,0,0,0.477556232,0,0.436499362,1,0.197819468,0.010313329,0,0,40,165.9813084
0.811161218,52.5,0,0,0.188838782,0,0,1.088218715,0,0.642192785,1,0.283821871,0.007187148,0,0,40,154.4859813
0.869565217,52.5,0,0,0.130434783,0,0,0,0.104166667,0.921195652,3,0.147644928,0.030797101,2,72.22222222,70.7,116.2333119
0.695652174,52.5,0,0.173913043,0.130434783,0,0,0,0.104166667,0.921195652,3,0.147644928,0.030797101,2,72.22222222,70.7,121.5752554
0.52173913,52.5,0,0.347826087,0.130434783,0,0,0,0.104166667,0.921195652,3,0.147644928,0.030797101,2,72.22222222,70.7,118.4247446
0.347826087,52.5,0,0.52173913,0.130434783,0,0,0,0.104166667,0.921195652,3,0.147644928,0.030797101,2,72.22222222,70.7,110.6160032
0.173913043,52.5,0,0.695652174,0.130434783,0,0,0,0.104166667,0.921195652,3,0.147644928,0.030797101,2,72.22222222,70.7,101.6593166
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,0,0,40,106.3973064
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,0.5,65,40,116.1616162
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,1,65,40,143.7710438
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,1.5,65,40,158.9225589
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,2,65,40,162.2895623
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,0,1.226666667,1.25,0.2,0.033333333,2.5,65,40,164.983165
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.828231293,0.6,0.2,0.011989796,0,0,50,63.25011735
0.8,42.5,0,0,0.2,0,0,0,0,1.808,0.6,0.2,0.012,0,0,50,58.21970271
0.750187547,42.5,0,0,0.249812453,0,0,0,0,1.792948237,0.6,0.2,0.012003001,0,0,50,60.777854
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.879251701,0.6,0.18,0.011989796,0,0,50,69.90589826
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.777210884,0.6,0.22,0.011989796,0,0,50,57.01190714
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.828231293,0.6,0.2,0.014030612,0,0,50,64.63861046
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.836734694,0.6,0.2,0.010034014,0,0,50,60.43888589
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.462585034,0.6,0.2,0.011989796,0,0,50,66.84354577
0.8,42.5,0,0,0.2,0,0,0,0,1.448,0.6,0.2,0.012,0,0,50,69.7182885
0.750187547,42.5,0,0,0.249812453,0,0,0,0,1.432858215,0.6,0.2,0.012003001,0,0,50,65.00369501
0.8,42.5,0,0,0.2,0,0,0,0,1.504,0.6,0.18,0.012,0,0,50,72.91058282
0.8,42.5,0,0,0.2,0,0,0,0,1.4,0.6,0.22,0.012,0,0,50,64.88655498
0.8,42.5,0,0,0.2,0,0,0,0,1.44,0.6,0.2,0.014,0,0,50,71.12196538
0.8,42.5,0,0,0.2,0,0,0,0,1.456,0.6,0.2,0.01,0,0,50,68.66135696
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.173469388,0.6,0.2,0.011989796,0,0,50,72.96662454
0.8,42.5,0,0,0.2,0,0,0,0,1.16,0.6,0.2,0.012,0,0,50,73.62830836
0.750187547,42.5,0,0,0.249812453,0,0,0,0,1.140285071,0.6,0.2,0.012003001,0,0,50,68.59750858
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.224489796,0.6,0.18,0.011989796,0,0,50,75.56832027
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.12244898,0.6,0.22,0.011989796,0,0,50,69.62991762
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.173469388,0.6,0.2,0.014030612,0,0,50,74.12621186
0.850340136,42.5,0,0,0.149659864,0,0,0,0,1.181972789,0.6,0.2,0.010034014,0,0,50,70.62344795
1,42.5,0,0,0,0,0,0,0,1.839125,2.5,0.2,0.027,0,0,50,108.8642132
0.995,42.5,0,0,0,0,0.005,0,0,1.826375,2.5,0.2,0.0315,0,0,50,110.7323617
0.99,42.5,0,0,0,0,0.01,0,0,1.8135,2.5,0.2,0.036,0,0,50,116.9829467
0.98,42.5,0,0,0,0,0.02,0,0,1.78775,2.5,0.2,0.045,0,0,50,120.3117646
0.97,42.5,0,0,0,0,0.03,0,0,1.762125,2.5,0.2,0.054,0,0,50,114.0418982
0.9,42.5,0,0,0.1,0,0,0,0,1.778625,2.5,0.2,0.037,0,0,50,120.9875205
0.895,42.5,0,0,0.1,0,0.005,0,0,1.7645,2.5,0.2,0.042,0,0,50,125.1726574
0.89,42.5,0,0,0.1,0,0.01,0,0,1.750375,2.5,0.2,0.047,0,0,50,130.1614222
0.88,42.5,0,0,0.1,0,0.02,0,0,1.72475,2.5,0.2,0.056,0,0,50,131.9342851
0.87,43.5,0,0,0.1,0,0.03,0,0,1.699,2.5,0.2,0.065,0,0,50,127.434927
0.800215983,52.5,0,0,0.199784017,0,0,0,0.279697624,0.88012959,0.85,0.199784017,0.009719222,2,65,50,161.0738462
0.800215983,52.5,0,0,0.199784017,0,0,0.209773218,0.069924406,0.88012959,0.85,0.199784017,0.009719222,2,65,50,148.2774931
0.800215983,52.5,0,0,0.199784017,0,0,0.139848812,0.139848812,0.88012959,0.85,0.199784017,0.009719222,2,65,50,150.7353773
0.800215983,52.5,0,0,0.199784017,0,0,0.069924406,0.209773218,0.88012959,0.85,0.199784017,0.009719222,2,65,50,146.7525835
0.800215983,52.5,0,0,0.199784017,0,0,0.279697624,0,0.88012959,0.85,0.199784017,0.009719222,2,65,50,143.7860534
0.75,42.5,0,0,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,149.2804583
0.599810785,42.5,0,0.150425733,0.249763482,0,0,0,0,0.999053926,2.36,0.163670766,0.019962157,2,65,40,142.0751466
0.449810606,42.5,0,0.300189394,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,144.3729554
0.300189394,42.5,0,0.449810606,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,138.844665
0.599810785,42.5,0.150425733,0,0.249763482,0,0,0,0,0.999053926,2.36,0.163670766,0.019962157,2,65,40,139.0342673
0.449810606,42.5,0.300189394,0,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,144.6861187
0.300189394,42.5,0.449810606,0,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,146.4244944
