Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Mini-slump spread (mm)
0.857,42.5,0,0,0,0.143,0,0.428,1.428,0.95,0,0.283,0.01,0,0,274
0.786,42.5,0,0,0,0.214,0,0.429,1.429,0.95,0,0.283,0.014,0,0,267
0.714,42.5,0,0,0,0.286,0,0.428,1.428,0.95,0,0.286,0.036,0,0,248
0.863,42.5,0,0,0.123,0,0.013,0.247,1.048,1.25,0.185,0.197,0.022,2,59.091,244
0.74,42.5,0,0.123,0.123,0,0.013,0.247,1.048,1.25,0.185,0.197,0.022,2,59.091,244
0.678,42.5,0,0.185,0.123,0,0.013,0.247,1.048,1.25,0.185,0.197,0.022,2,59.091,242
0.617,42.5,0,0.247,0.123,0,0.013,0.247,1.048,1.25,0.185,0.197,0.022,2,59.091,240
0.857,42.5,0,0,0.129,0,0.014,0.258,1.096,1.25,0.193,0.206,0.023,2,59.091,236
0.664,42.5,0,0.193,0.129,0,0.014,0.258,1.096,1.25,0.193,0.206,0.023,2,59.091,234
0.654,42.5,0,0.199,0.132,0,0.014,0.265,1.126,1.25,0.199,0.212,0.024,2,59.091,224
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,2.16,66.667,159.99
0.6,42.5,0,0.15,0.25,0,0,0,0.999,2.36,0,0.164,0.02,2.16,66.667,162.967
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.164,0.02,2.16,66.667,170.06
0.3,42.5,0,0.45,0.25,0,0,0,1,2.36,0,0.164,0.02,2.16,66.667,180.07
0.6,42.5,0.15,0,0.25,0,0,0,0.999,2.36,0,0.164,0.02,2.16,66.667,165.045
0.45,42.5,0.3,0,0.25,0,0,0,1,2.36,0,0.164,0.02,2.16,66.667,173.057
0.3,42.5,0.45,0,0.25,0,0,0,1,2.36,0,0.164,0.02,2.16,66.667,183.067
0.8,52.5,0,0,0.2,0,0,0,1.104,0.38,0,0.22,0.004,0,0,364
0.8,52.5,0,0,0.2,0,0,0,1.032,0.38,0,0.22,0.004,2.5,65,334
0.769,52.5,0,0,0.231,0,0,0,1.292,0.38,0,0.22,0.006,0,0,320
0.769,52.5,0,0,0.231,0,0,0,1.292,0.38,0,0.22,0.006,0,0,328
0.8,52.5,0,0,0.2,0,0,0,1.104,0.38,0,0.2,0.006,0,0,318
0.8,52.5,0,0,0.2,0,0,0,1.088,0.38,0,0.18,0.007,0,0,300
0.758,52.5,0,0,0.242,0,0,0,0.97,0.6,0.242,0.19,0.023,1,65,189
0.757,52.5,0,0,0.243,0,0,0,0.784,0.6,0.216,0.2,0.023,0,0,199
0.8,52.5,0,0,0.2,0,0,0,0.8,0.6,0.343,0.2,0.024,0,0,187
0.743,52.5,0,0,0.257,0,0,0,0.743,0.6,0.314,0.21,0.03,0,0,197
0.758,52.5,0,0,0.242,0,0,0,0.97,0.6,0.242,0.19,0.023,1,65,184
0.758,52.5,0,0,0.242,0,0,0,1.061,0.6,0.212,0.19,0.023,0,0,189
0.806,52.5,0,0,0.194,0,0,0,1.129,0.6,0.29,0.19,0.024,0,0,187
0.742,52.5,0,0,0.258,0,0,0,1.129,0.6,0.29,0.18,0.022,1,65,180
0.828,52.5,0,0,0.172,0,0,0,1.172,0.6,0.379,0.2,0.025,0,0,226
0.75,52.5,0,0,0.25,0,0,0,1.031,0.6,0.281,0.18,0.023,0,0,182
0.85,52.5,0,0,0.15,0,0,0,0.85,0.6,0,0.2,0.026,0,0,182
0.8,52.5,0,0,0.2,0,0,0,0.825,0.6,0,0.2,0.024,0,0,206
0.833,52.5,0,0,0.167,0,0,0,0.944,0.6,0.111,0.2,0.025,0,0,215
0.786,52.5,0,0,0.214,0,0,0,1.393,0.6,0.321,0.18,0.024,0,0,187
0.765,52.5,0,0,0.235,0,0,0,1,0.6,0.176,0.2,0.023,0,0,220
0.741,52.5,0,0,0.259,0,0,0,1.63,0.6,0.259,0.18,0.022,0,0,192
0.794,52.5,0,0,0.206,0,0,0,0.882,0.6,0.235,0.2,0.032,2,65,200
0.688,52.5,0,0,0.313,0,0,0,1.125,0.6,0.25,0.18,0.021,0,0,198
0.688,52.5,0,0,0.313,0,0,0,1.125,0.6,0.25,0.18,0.021,0,0,189
0.733,52.5,0,0,0.267,0,0,0,1.233,0.6,0.333,0.17,0.022,0,0,173
0.771,52.5,0,0,0.229,0,0,0,0.914,0.6,0.171,0.2,0.023,0,0,182
0.784,52.5,0,0,0.216,0,0,0,0.838,0.6,0.162,0.2,0.024,0,0,193
0.758,52.5,0,0,0.242,0,0,0,0.939,0.6,0.273,0.2,0.023,1,65,190
0.778,52.5,0,0,0.222,0,0,0,0.944,0.6,0.111,0.2,0.023,0,0,205
0.758,52.5,0,0,0.242,0,0,0,0.909,0.6,0.273,0.21,0.023,2,65,200
0.765,52.5,0,0,0.235,0,0,0,1,0.6,0.176,0.2,0.023,0,0,210
0.727,52.5,0,0,0.273,0,0,0,1.03,0.6,0.212,0.2,0.022,0,0,212
0.706,52.5,0,0,0.294,0,0,0,1,0.6,0.176,0.2,0.021,0,0,193
0.667,52.5,0,0,0.333,0,0,0,0.944,0.6,0.111,0.2,0.02,0,0,187
0.724,52.5,0,0,0.276,0,0,0,1.345,0.6,0.345,0.16,0.022,0,0,172
0.774,52.5,0,0,0.226,0,0,0,1.097,0.6,0.29,0.2,0.023,0,0,215
0.758,52.5,0,0,0.242,0,0,0,0.97,0.6,0.242,0.19,0.023,1,65,182
0.771,52.5,0,0,0.229,0,0,0,0.886,0.6,0.286,0.18,0.023,0,0,171
0.794,52.5,0,0,0.206,0,0,0,0.912,0.6,0.294,0.19,0.024,0,0,172
0.758,52.5,0,0,0.242,0,0,0,1,0.6,0.273,0.19,0.023,0,0,187
0.8,52.5,0,0,0.2,0,0,0,1.133,0.6,0.333,0.19,0.024,2,65,187
0.794,52.5,0,0,0.206,0,0,0,0.912,0.6,0.294,0.19,0.024,0,0,178
0.742,52.5,0,0,0.258,0,0,0,1.129,0.6,0.29,0.18,0.022,1,65,174
0.724,52.5,0,0,0.276,0,0,0,1.345,0.6,0.345,0.16,0.022,0,0,172
0.758,52.5,0,0,0.242,0,0,0,0.939,0.6,0.273,0.2,0.023,1,65,192
0.786,52.5,0,0,0.214,0,0,0,1.464,0.6,0.321,0.16,0.024,0,0,175
0.719,52.5,0,0,0.281,0,0,0,1.094,0.6,0.25,0.19,0.022,0,0,200
0.8,52.5,0,0,0.2,0,0,0,1.167,0.6,0.3,0.18,0.024,2,65,182
0.742,52.5,0,0,0.258,0,0,0,1.161,0.6,0.29,0.18,0.022,0,0,199
0.758,52.5,0,0,0.242,0,0,0,0.909,0.6,0.273,0.21,0.023,2,65,202
0.75,52.5,0,0,0.25,0,0,0,1.031,0.6,0.281,0.18,0.023,0,0,187
0.8,52.5,0,0,0.2,0,0,0,1.133,0.6,0.333,0.2,0.024,0,0,234
0.794,52.5,0,0,0.206,0,0,0,0.882,0.6,0.235,0.2,0.032,2,65,203
0.758,52.5,0,0,0.242,0,0,0,1.091,0.6,0.182,0.18,0.023,2,65,173
0.758,52.5,0,0,0.242,0,0,0,0.909,0.6,0.273,0.21,0.023,2,65,204
0.75,52.5,0,0,0.25,0,0,0,1,0.6,0.281,0.19,0.023,1,65,181
0.686,52.5,0,0,0.314,0,0,0,0.971,0.6,0.143,0.2,0.021,0,0,189
0.774,52.5,0,0,0.226,0,0,0,1.065,0.6,0.29,0.18,0.023,2,65,197
0.8,52.5,0,0,0.2,0,0,0,1.237,0.11,0,0.176,0.005,0,0,100.974
0.8,52.5,0,0,0.2,0,0,0,1.237,0.11,0,0.176,0.016,0,0,190.881
0.8,52.5,0,0,0.2,0,0,0,1.237,0.11,0,0.176,0.021,0,0,209.887
0.8,52.5,0,0,0.2,0,0,0,1.237,0.11,0,0.176,0.027,0,0,218.853
0.6,52.5,0,0.2,0.2,0,0,0,1.222,0.11,0,0.176,0.008,0,0,203.228
0.6,52.5,0,0.2,0.2,0,0,0,1.222,0.11,0,0.176,0.012,0,0,235.349
0.6,52.5,0,0.2,0.2,0,0,0,1.222,0.11,0,0.176,0.016,0,0,248.412
0.4,52.5,0,0.4,0.2,0,0,0,1.208,0.11,0,0.176,0.003,0,0,101.025
0.4,52.5,0,0.4,0.2,0,0,0,1.208,0.11,0,0.176,0.004,0,0,220.261
0.4,52.5,0,0.4,0.2,0,0,0,1.208,0.11,0,0.176,0.005,0,0,258.761
0.4,52.5,0,0.4,0.2,0,0,0,1.208,0.11,0,0.176,0.008,0,0,275.102
0.28,52.5,0,0.52,0.2,0,0,0,1.199,0.11,0,0.176,0.002,0,0,100.82
0.28,52.5,0,0.52,0.2,0,0,0,1.199,0.11,0,0.176,0.003,0,0,257.351
0.28,52.5,0,0.52,0.2,0,0,0,1.199,0.11,0,0.176,0.004,0,0,264.703
0.28,52.5,0,0.52,0.2,0,0,0,1.199,0.11,0,0.176,0.006,0,0,276.742
